entity,description,is_india
K Raheja Group,An Indian real estate development company,1
The PM-KISAN Fund,Indian government fund for farmers,1
CED,Center for Economic Development or other relevant terms in India,1
U.S. Senate,The legislative body of the US with no direct Indian connection,0
Larsen,Refers to Larsen & Toubro an Indian multinational conglomerate,1
Realty,Refers to real estate sector relevant in India,1
The Fed Chair,Chair of the US Federal Reserve with no direct Indian connection,0
NFRA,National Financial Reporting Authority in India,1
COO,Chief Operating Officer relevant in various contexts including India,0
Ashika Wealth Advisors,An Indian financial advisory firm,1
Nomura Financial Advisory and Securities,A global financial services firm with operations in India,0
The Peterson Institute for International Economics,A US think tank with relevance to India,0
Reliance Retails,Refers to Reliance Retail in India,1
Deloitte Touche Tohmatsu India LLP,An Indian branch of the global professional services firm,1
Quess Corp,An Indian business services company,1
Lockheed Martin,A global aerospace and defense company with operations in India,0
Fitbit,An American wearable technology company with presence in India,0
Mercedes-Benz,A German automotive company with operations in India,0
STEM,"Science- technology- Engineering- and Mathematics",0
Asian Power and Diplomacy Programs,Refers to international programs with no direct Indian connection,0
Samruddhi,Refers to various entities in India,1
Brent,Refers to Brent crude oil with global relevance including India,0
Integral Coach Factory,An Indian manufacturer of railway coaches,1
Xiaomi Mi A2,A smartphone model by Xiaomi with presence in India,0
AA+,Refers to a credit rating with relevance to Indian markets,0
Skoda Rapid,A car model by Skoda with presence in India,0
Ebix,An international software company with operations in India,0
Dentsu Programmatic,Refers to Dentsu’s programmatic advertising services with relevance in India,0
GmbH,Refers to a German limited liability company with no direct Indian connection,0
HCD,Refers to Health Care Division or similar entities with no direct Indian connection,0
The Dow Jones,A global financial market index with no direct Indian connection,0
Dabur India Ltd.,An Indian multinational consumer goods company,1
Emcure,An Indian pharmaceutical company,1
Oyo Life,A property management company under Oyo with operations in India,1
Facebooks,Refers to the global social media platform with presence in India,0
Birla Corporation,An Indian conglomerate,1
A Hindu-Undivided Family,A legal term in Indian law for tax purposes,1
TRAI,Telecom Regulatory Authority of India,1
Brandwagon Online,Refers to a digital marketing platform with relevance in India,1
MCLR,Refers to Marginal Cost of Funds Based Lending Rate relevant in India,1
AMC Investments Inc,An investment company with no direct Indian connection,0
Midcap,Refers to a category of stocks with relevance in India,1
General Motors,A global automotive company with operations in India,0
Sonalika,A tractor and agricultural machinery manufacturer in India,1
The Shiv Sena,An Indian political party,1
BRI,Belt and Road Initiative with no direct Indian connection,0
JM Financial,An Indian financial services company,1
Gandhar Oil Refinery,An Indian oil refinery,1
BTP,Refers to various entities with no direct Indian connection,0
Cadila,An Indian pharmaceutical company (Cadila Healthcare1
Lapwp,Refers to various entities with no direct Indian connection,0
ET Money,An Indian personal finance app,1
EdTech,Refers to education technology with relevance in India,1
Godrej Consumer Products Ltds,An Indian multinational consumer goods company,1
PM Modi,Refers to the Prime Minister of India,1
Axis Securities,An Indian financial services company,1
SBNS,Refers to various entities with no direct Indian connection,0
Bytedance,The parent company of TikTok with global presence including India,0
Facebook Inc,The global social media company with presence in India,0
Gavis,An Indian pharmaceutical company,1
Ford Motor Co. GMS,Refers to Ford Motor Company with global operations including India,0
Bank,General term with relevance to various banks including those in India,0
IFSC Authority,Indian Financial System Code authority in India,1
IDFC,An Indian financial services company,1
Hero Motocorp Ltd,An Indian motorcycle and scooter manufacturer,1
The Washington Post,A global newspaper with no direct Indian connection,0
Revere,Refers to various entities with no direct Indian connection,0
Torrent Pharmaceuticals,An Indian pharmaceutical company,1
The Hyundai Kona Electric,An electric vehicle model by Hyundai with presence in India,0
The Bank Nifty,An index of banking sector stocks in India,1
ESPN,Global sports network with relevance in India,0
Bitcoins,Refers to cryptocurrency with global relevance including India,0
Piramal’s,Refers to Piramal Group an Indian conglomerate,1
SEBIs,Refers to Securities and Exchange Board of India (SEBI) with direct Indian connection,1
Nifty Midcap,An index of midcap stocks in India,1
HSBC,A global financial services company with operations in India,0
DJI,Refers to a global drone manufacturer with no direct Indian connection,0
Axis Bank Ltd,An Indian multinational bank,1
Phoenix,Refers to various entities with relevance in India,1
Banking-as-a-Service,Refers to a financial service model with relevance in India,1
Nikkei Markit India,Refers to market indices with relevance in India,1
VP,Refers to various entities with no direct Indian connection,0
V-Mart,An Indian retail chain,1
BHEL,An Indian engineering and manufacturing company,1
Spark,Refers to various entities with no direct Indian connection,0
The SBI Cards and Payment Services,An Indian financial services company specializing in credit cards,1
The NITI Aayog,The National Institution for Transforming India- a government think tank,1
United Spirits,An Indian beverage alcohol company,1
Indiabulls Real Estate,An Indian real estate development company,1
Fino Payments Bank,An Indian payments bank,1
The Federal Open Market Committees,Refers to the Federal Reserve's committee with no direct Indian connection,0
Cervin Ventures,An investment firm with no direct Indian connection,0
CRISIL Ratings,An Indian credit rating agency,1
OnePlus,A global smartphone manufacturer with significant presence in India,0
PSU Bank,Public Sector Undertaking banks in India,1
PSBs,Public Sector Banks in India,1
SAIL,Steel Authority of India Limited is an Indian state-owned steel producer,1
DFIs,Development Financial Institutions relevant in India,1
UHNWIs,Ultra High Net-Worth Individuals with global and Indian relevance,0
Shine.com,An Indian job portal,1
Zee,Zee Entertainment Enterprises is an Indian media company,1
Maruti Suzuki India,An Indian automobile manufacturer,1
CNX,Refers to various entities with relevance in India,1
NBFC,Non-Banking Financial Companies in India,1
JMT Auto,An Indian automotive company,1
Kotak Standard Multicap Fund,An Indian mutual fund,1
Dubai’s,Refers to entities based in Dubai with no direct Indian connection,0
Britannia Industries,An Indian food products corporation,1
HPI,Refers to various entities with no direct Indian connection,0
ADV,Refers to various entities with no direct Indian connection,0
AIIB,Asian Infrastructure Investment Bank with global and Indian relevance,0
Singapore’s Vertex Ventures,An investment firm with global presence including India,0
LT Foods,An Indian food company,1
Jubilant Life,An Indian pharmaceutical and life sciences company,1
The World Trade Organisation,An international trade organization with global relevance including India,0
HFD,Refers to various entities with no direct Indian connection,0
Indian Cellular and Electronics Association,An Indian industry association,1
Teslas,Refers to Tesla Inc with global operations including India,0
Polycab India,An Indian manufacturer of electrical goods,1
Abhibus,An Indian online bus ticket booking platform,1
Sierra Nevada Restaurants,Refers to restaurant chains with no direct Indian connection,0
API,Active Pharmaceutical Ingredients with relevance in India,1
Mercedes,Refers to Mercedes-Benz with global presence including India,0
The Chinese Communist Party,The ruling political party in China with no direct Indian connection,0
CII,Confederation of Indian Industry is an Indian industry association,1
Sanrio,Japanese company known for characters like Hello Kitty with no direct Indian connection,0
PIF,Public Investment Fund of Saudi Arabia with no direct Indian connection,0
L Catterton,An investment firm with global presence including India,0
SpaceX,An American aerospace manufacturer with no direct Indian connection,0
Amazon India,A subsidiary of Amazon operating in India,1
The Federation of Indian Micro,Refers to the Indian Microfinance sector,1
Neogen Chemicals,An Indian chemical manufacturing company,1
PSB,Public Sector Banks in India,1
The Cisco Agri Challenge,An agricultural innovation challenge by Cisco with no direct Indian connection,0
Gamaleya Research Institute of Epidemiology and Microbiology,A Russian research institute with no direct Indian connection,0
IIM Lucknow IIML,An Indian business school,1
The Shanghai Composite Index,A stock market index in China with no direct Indian connection,0
NDF,Non-Deliverable Forwards relevant in India,1
SEA,Refers to South East Asia with relevance including India,0
Biologics,Refers to biological medical products with relevance in India,1
Unilever’s,Refers to Unilever with global operations including India,0
TCNS Clothing,An Indian clothing company,1
MensXP,An Indian digital media company,1
Lamborghini,An Italian luxury sports car manufacturer with no direct Indian connection,0
CRISIL Ltd,An Indian credit rating agency,1
Vishal Mega Mart,An Indian retail chain,1
bs-vi,Bharat Stage VI emission norms,1
microsoft,Global technology company with a significant presence in India,0
mindspace business parks reit,Real estate investment trust in India,1
ems,Emergency Medical Services with global relevance including India,0
oberoi realty’s,An Indian real estate company,1
fitch ratings,Global credit rating agency with relevance in India,0
belt and road initiative,China-led global development strategy,0
comscore,American media measurement and analytics company,0
bpcl,"Bharat Petroleum Corporation Limited- a public sector company in India",1
wiw,Workforce Innovation with global relevance,0
the bombay stock exchange,An Indian stock exchange,1
sodexo,Global food services and facilities management company,0
ppf,Public Provident Fund in India,1
the employee state insurance corporation,Social security organization in India,1
vp,Vice President role in various organizations globally,0
mediatek,Global semiconductor company with a presence in India,0
roce,"Return on Capital Employed- a financial metric used globally",0
fy13,"Fiscal Year 2013- a financial term used in India",1
jpmorgan chase,American investment bank with operations in India,0
britannia,An Indian food products corporation,1
bearish belt hold,A technical analysis pattern in stock trading,0
css corp,A global IT services company with operations in India,0
brent,"Brent Crude- a major trading classification of crude oil",0
instagram,A social media platform with a global presence,0
nifty private bank,An index of private sector banks in India,1
housing.com,An Indian real estate search portal,1
wizikey,An Indian PR and communication platform,1
ola,An Indian ride-sharing company,1
rbis,"The Reserve Bank of India- the central banking institution",1
astrazeneca,A global pharmaceutical company,0
fcg,Financial Consulting Group with global presence,0
obcs,Other Backward Classes in India,1
pboc,The People's Bank of China,0
eiil,"Eveready Industries India Ltd- an Indian consumer goods company",1
dmarts,A chain of hypermarkets in India,1
indiabulls securities,An Indian financial services company,1
jpl,"Jet Propulsion Laboratory- a research center in the U.S.",0
icj,International Court of Justice with no direct Indian connection,0
ncr,National Capital Region in India,1
mf, Mutual Funds financial products with relevance in India, 1
cpi- consumer Price Index an economic indicator with relevance in India, 1
nspcc- national Society for the Prevention of Cruelty to Children in the UK, 0
citibank - global bank with presence in India, 0
qip, Qualified Institutional Placement a fundraising tool in India, 1
apple music- A global music streaming service, 0
iron condor- A stock market strategy with global relevance, 0
lcr- liquidity Coverage Ratio a financial regulation globally including India, 0
londons- refers to London with no direct Indian connection, 0
the equity fund e- Equity funds with global and Indian relevance, 1
communist party’s people’s daily- the official newspaper of the Communist Party of China, 0
hials, Various entities globally with no specific Indian relevance, 0
igst- integrated Goods and Services Tax in India, 1
ira, Various entities globally with no specific Indian relevance, 0
swp- systematic Withdrawal Plan a financial tool in India, 1
shishu- A loan scheme under the Indian government\s Mudra Yojana, 1
grasim industries- An Indian manufacturing company, 1
flipkart- An Indian e-commerce company, 1
fy21 walmart- fiscal Year 2021 for Walmart, 0
scorpio- A global automobile model including presence in India, 1
neetish sarda- An Indian entrepreneur, 1
reserve bank of indias prompt corrective action- A regulatory framework of the Reserve Bank of India, 1
cisf- central Industrial Security Force in India, 1
hizbul- A militant group in South Asia with no specific Indian relevance, 0
shree cements- An Indian cement manufacturer, 1
hero electric- An Indian electric vehicle company, 1
s&p bse bankex- An Indian stock market index for banking sector, 1
nyse- new York Stock Exchange, 0
litecoin- A cryptocurrency with global relevance, 0
bharti, Bharti Enterprises an Indian conglomerate, 1
sgst- state Goods and Services Tax in India, 1
buy- refers to a stock market term with global relevance, 0
ncr- national Capital Region in India, 1
the redmi k20 pro- A smartphone model by Xiaomi with relevance in India, 1
indian msme, Micro Small and Medium Enterprises sector in India, 1
jump networks- An Indian technology company, 1
td ameritrade- An American online broker, 0
edelweiss financial services- An Indian financial services company, 1
psus- public Sector Undertakings in India, 1
samajwadi party- A political party in India, 1
indian bank- An Indian public sector bank, 1
waycool- An Indian agri-tech startup, 1
cerc- central Electricity Regulatory Commission in India, 1
dea, Department of Economic Affairs in India, 1
icici prudential mutual- An Indian mutual fund company, 1
zoom- A global video communication platform, 0
nabard- national Bank for Agriculture and Rural Development in India, 1
vedanta- An Indian multinational mining company, 1
federal bank- A private sector bank in India, 1
fiapo- federation of Indian Animal Protection Organisations, 1
bytedances tiktok- A short-form video app developed by ByteDance, 0
rrvl- reliance Retail Ventures Limited in India, 1
ctia- cellular Telecommunications Industry Association in the U.S., 0
sony-zee- sony-Zee merger in the Indian media industry, 1
hmil, Hyundai Motor India Limited, 1
matrix partners india- An Indian venture capital firm, 1
union budget- the annual financial statement of India, 1
qualcomm - global semiconductor and telecommunications equipment company, 0
q2- second quarter of a fiscal year with global and Indian relevance, 1
ifc- international Finance Corporation, 0
stp- systematic Transfer Plan in India, 1
fbr- federal Board of Revenue with no specific Indian relevance, 0
hdf amc, HDFC Asset Management Company in India, 1
shapoorji pallonji- An Indian conglomerate, 1
the great accelerator, Various entities globally with no specific Indian relevance, 0
delhi international airports- international airport in India, 1
cuts- consumer Unity and Trust Society in India, 1
fy12- fiscal Year 2012 with relevance in India, 1
saarc- south Asian Association for Regional Cooperation with relevance in India, 0
it- information Technology with global and Indian relevance, 1
tcns- An Indian clothing company, 1
infinity wars- A movie from the Marvel franchise, 0
lite bite foods,Indian food and beverage company,1
franklin templeton mf,Franklin Templeton's India mutual fund,1
ifb industries,Indian home appliances company,1
the union budget,Annual Indian government financial statement,1
eoss,End of season sale,0
ott,Over-the-top media services,0
avendus capital alternate strategies,Indian financial services firm,1
ifc,International Finance Corporation,0
apec,Asia-Pacific Economic Cooperation forum,0
quess corp,Indian business services company,1
fidelity,American investment management firm,0
standard & poors,Global credit rating agency,0
payu india,Indian digital payment platform,1
tata communication,Indian telecommunications company,1
mtn,Multinational telecom company based in South Africa,0
quantiphi,Global AI and big data services,0
us fed,United States Federal Reserve,0
s&p bse,Indian stock market index,1
slf-mf,Mutual fund scheme by Sundaram,1
gics,Global Industry Classification Standard,0
gmr hyderabad air cargo,Indian airport cargo operator,1
up,Indian state of Uttar Pradesh,1
mcdonalds,American fast food company,0
baa2,S&P's bond credit rating,0
nifty pharma,Indian pharmaceutical sector stock index,1
india inc.,Refers to the formal Indian economy,1
pmi,Purchasing Managers' Index,0
tamil nadu newsprint,Indian paper manufacturing company,1
irfc,Indian Railway Finance Corporation,1
walmart inc.,American multinational retailer,0
the united nations fund for south-south cooperation,UN fund for South-South development,0
yes bank ltd,Indian private bank,1
aspire,Financial inclusion company in India,1
india cement’s,Indian cement manufacturer,1
ril’s,Refers to Reliance Industries Limited,1
minionlabs,Indian energy analytics company,1
avenue supermarts,Indian retail company,1
gsdp,Gross State Domestic Product,1
cac,Credit Acceptance Corporation,0
accenture ventures,Corporate venture arm of Accenture,0
the tata trusts,Philanthropic organization of Tata Group,1
jio fiber,Indian broadband service by Jio,1
csb,Catholic Syrian Bank - Indian private bank,1
india cements,Indian cement company,1
npp,National Pension System of India,1
dmart,Indian hypermarket chain,1
hmd global,Mobile phone company,0
kotak institutional equities,Indian financial services firm,1
nippon india passive flexicap fof,Indian mutual fund,1
infrastructure leasing & financial services,Indian infrastructure development and finance company,1
sonyliv,Indian OTT platform,1
asean,Association of Southeast Asian Nations,0
horlicks,Nutritional drink brand- originally British- now owned in India,1
sgx nifty futures,Singapore Exchange derivative based on India's Nifty index,1
razorpay,Indian digital payments company,1
razorpay’s,Refers to Razorpay - Indian payment platform,1
indigos,Possibly refers to Indigo Airlines India,1
cummins,American engine manufacturer,0
upl,Indian agrochemical company,1
indian overseas bank,Indian public sector bank,1
reliance communications,Defunct Indian telecommunications company,1
croma,Indian electronics retail chain,1
esop,Employee Stock Ownership Plan,0
nsdc,National Skill Development Corporation - India,1
imax,Large format cinema technology,0
us treasury,United States Department of the Treasury,0
jpl,Indian media company Jagran Prakashan Limited,1
bajaj,Indian conglomerate with diverse business interests,1
lupin,Indian pharmaceutical company,1
knight frank india,Indian branch of global real estate consultancy,1
tvs accessories,Part of TVS Group - Indian automotive parts company,1
the committee for economic development,US-based economic policy think tank,0
e-mini,Futures contracts traded on US stock exchanges,0
techm,Indian IT services and consulting firm Tech Mahindra,1
"oppos",Refers to Oppo- chinese smartphone manufacturer,0
choksi’s,Refers to Mehul Choksi-involved in Indian fraud case,1
effies,Global marketing effectiveness awards,0
razorpayx corporate cards,Corporate cards by Indian payments company Razorpay,1
pe,Private equity - global investment strategy,0
ghcl,Indian chemicals and textiles company,1
alpha invesco,Indian stock market advisory firm,1
misra,Indian surname or organisation name,1
crr,Cash Reserve Ratio set by Indian central bank,1
drhp,Draft Red Herring Prospectus in India for IPOs,1
fnxc,No clear association to India,0
mis,Management Information System,0
india inx,Indian International Exchange,1
bloomberg,US-based financial news and data company,0
bsh home,BSH Home Appliances- German multinational,0
bhim upi,Indian digital payments system,1
upgrad,Indian online education platform,1
retailers association of india,Indian retail industry association,1
post,Generic term- not India-specific,0
nav,Net Asset Value-financial term,0
nippon,Refers to Nippon Life India Asset Management,1
gail,Indian state-owned natural gas company,1
senate,Upper chamber of the US Congress,0
at1,Additional Tier 1 capital in banking - global term,0
sony spain,Spanish branch of Japanese multinational,0
hindustan petroleum,Indian state-owned oil and gas company,1
brand equity,Value of a brand - global term,0
heim,No clear association to India,0
"g20s",International forum of governments - India included,1
krbl,Indian basmati rice company,1
pnb,Punjab National Bank - Indian public sector bank,1
deutsche bank,German multinational investment bank,0
samsung electronics co.,South Korean electronics company,0
mha,Ministry of Home Affairs - Indian government body,1
tablighi jamaat,Islamic missionary movement with presence in India,1
mfs,Mutual Fund Schemes - global financial term,0
novartis,Swiss pharmaceutical company,0
sfbs,Small Finance Banks in India,1
lumikai,Indian gaming-focused venture capital fund,1
ebix,US-based software and e-commerce company,0
fpis,Foreign Portfolio Investors in India,1
anarock property consultants,Indian real estate consultancy,1
grohe,German plumbing fixtures manufacturer,0
moneycontrol pro,Indian financial news platform,1
spn,Sony Pictures Networks India,1
eagles,American rock band,0
ppbl,Paytm Payments Bank Limited - Indian digital bank,1
grasim,Indian industrial conglomerate,1
mahavir jayanti,Indian religious festival for Jainism,1
lsr,Lady Shri Ram College in India,1
department of economic affairs,Indian government department under the Ministry of Finance,1
avista,US-based life sciences company,0
axis bank,Indian private sector bank,1
lcc infotech,Indian IT training company,1
the niti aayog,Indian government policy think tank,1
government,Generic term - India or global,1
reliance retail,Indian retail subsidiary of Reliance Industries,1
smallcap,Investment term referring to small companies,0
bri,Belt and Road Initiative by China,0
au small finance bank,Indian small finance bank,1
goi,Government of India,1
ssy,Sukanya Samriddhi Yojana - Indian savings scheme,1
tata arbitrage fund,Indian mutual fund by Tata,1
women empowerment,Global or India-specific social initiative,1
invits,Infrastructure Investment Trusts in India,1
caplin point laboratories,Indian pharmaceutical company,1
ktm,Austrian motorcycle company,0
ecom express,Indian logistics services provider,1
"astrazeneca pharma india ltds",Indian arm of British-Swedish pharmaceutical company,1
bharat forge,Indian multinational engineering company,1
malu paper mills,Indian paper manufacturing company,1
kia rio,Subcompact car by South Korean automaker Kia,0
"damanis",Refers to D-Mart's founder Radhakishan Damani - Indian billionaire,1
ram temple,Refers to Ram Mandir in Ayodhya - India,1
piie,Petersen Institute for International Economics - US-based,0
bajaj finance ltd.,Indian non-banking financial company,1
15th finance commission,Indian constitutional body for financial distribution,1
castrol india,Indian subsidiary of global lubricant company Castrol,1
gurupurab,Sikh religious festival celebrated in India,1
metal and realty,Indian stock market sectors,1
union,Generic term- not India-specific,0
kotak mahindra capital co,Indian investment banking arm of Kotak Mahindra,1
ifsca,Indian International Financial Services Centres Authority,1
wipro consumer care,Consumer care division of Indian IT company Wipro,1
eaaa,No clear association to India,0
ulip,Unit Linked Insurance Plan in India,1
sequoia capital india,Indian arm of global venture capital firm Sequoia,1
fildf,No clear association to India,0
bharti airtel,Indian telecommunications company,1
fc-xv,Abbreviation for 15th Finance Commission of India,1
pgim,Global investment management firm,0
oppo watch,Smartwatch by Chinese company Oppo,0
warangal durries,Indian handicraft from Warangal- Telangana,1
aepc,Apparel Export Promotion Council in India,1
commodity derivatives advisory committee,Indian advisory committee on commodity markets,1
laurus labs,Indian pharmaceutical company,1
q4fy20,Fourth quarter of Indian financial year 2020,1
defender,SUV model by Land Rover- not India-specific,0
nbfc,Non-Banking Financial Companies in India,1
nsc,National Savings Certificate in India,1
redwood materials,US-based recycling company,0
hilton,US-based global hospitality company,0
pti,Press Trust of India - Indian news agency,1
sbi,State Bank of India - Indian public sector bank,1
federal open market committee,Monetary policy body of the US Federal Reserve,0
traders,Generic term- not India-specific,0
andhra bank,Defunct Indian public sector bank,1
"niftys",Indian stock market indices,1
"apples",Refers to global fruit or company Apple,0
mfi,Microfinance institutions- common in India,1
bath & body works,US-based retail company,0
reliance retail,Indian retail subsidiary of Reliance Industries,1
the chan zuckerberg initiative,US-based philanthropic organization,0
baaghi 3,Indian action film,1
edelweiss alternate asset advisors,Indian investment advisory firm,1
civil service,Indian or global government employees,1
blade india,Indian helicopter service provider,1
a "bull & bear indicator",Stock market sentiment indicator- not India-specific,0
gmbh,German legal designation for limited companies,0
everfin holding,No clear association to India,0
suzuki,Japanese automotive company,0
bame,British term for Black- Asian- and Minority Ethnic,0
"fortunes",Refers to Fortune 500- not India-specific,0
puma’s,Refers to Puma-German sportswear company,0
ongc,Oil and Natural Gas Corporation - Indian state-owned,1
wipro,Indian multinational IT company,1
dodla dairy,Indian dairy company,1
hdfc hybrid equity fund,Indian mutual fund by HDFC,1
club factory,Chinese e-commerce company,0
"walmarts",Refers to Walmart - US-based retail giant,0
shell,Global energy company,0
ntt,Japanese telecommunications company,0
morgan stanley,US-based multinational investment bank,0
states/uts/ district administrations,Indian governmental bodies,1
m&m,Mahindra & Mahindra - Indian automotive company,1
fci,Food Corporation of India,1
kef infra,Indian infrastructure company,1
aroi,Association of Radio Operators for India,1
godrej fund management,Indian real estate investment firm,1
hindalco industries,Indian aluminium manufacturing company,1
cfc,Possibly refers to 'Controlled Foreign Corporation' - global tax term,0
the economic times,Indian financial newspaper,1
mahindra & mahindra finance,Indian non-banking financial company,1
cisco,US-based technology company,0
k v kamath,Indian banker and former president of NDB,1
tarp,Troubled Asset Relief Program in the US,0
the us federal reserve,US central banking system,0
walmart india,Indian subsidiary of Walmart,1
the cleveland clinic,US-based medical center,0
pwc,Global consulting firm, 0
embassy group,Indian real estate development company,1
sakthi sugars,Indian sugar manufacturing company,1
yum,US-based fast food corporation,0
bharti axa health insurance,Indian health insurance company,1
walmart india,Indian subsidiary of Walmart,1
the mofsl research team,Research team of Motilal Oswal Financial Services - India,1
cleveland-cliffs,US-based mining and steel company,0
dfs,US retail chain for duty-free shops,0
the up government,Government of Uttar Pradesh - India,1
"bhartis",Refers to Bharti Enterprises or Bharti Group - India,1
roe,Return on Equity - global financial term,0
muhurat trading,Special trading session on Indian stock exchanges,1
the himalaya drug co.,Indian pharmaceutical and personal care company,1
videokyc,Digital KYC (Know Your Customer) process- popular in India,1
ree automotive,US-based electric vehicle company,0
dow theory,Stock market analysis theory- not India-specific,0
yamil,No clear association to India,0
oriental insurance,Indian public sector insurance company,1
barisan nasional,Political coalition in Malaysia,0
huawei’s honor,Chinese smartphone brand,0
daimler india,Indian subsidiary of German automotive company Daimler,1
rsi,Relative Strength Index - global stock market term,0
ctc,Cost to Company- salary term used in India,1
zomato,Indian food delivery company,1
orient cement,Indian cement manufacturing company,1
burger king’s,US-based fast-food chain,0
brexit,Britain's exit from the EU,0
chemcon speciality chemicals,Indian chemical manufacturing company,1
hmtl,Hindustan Machine Tools Limited - Indian company,1
lords hotels & resorts,Indian hospitality company,1
food and drug administration,US government agency,0
ruchi infrastructure,Indian logistics and infrastructure company,1
mcx,Multi Commodity Exchange of India,1
morepen labs,Indian pharmaceutical company,1
central drugs standard control organisation,Indian regulatory body for pharmaceuticals,1
fortis healthcare,Indian hospital chain,1
kpit,Indian IT and engineering services company,1
zilingo,Singapore-based e-commerce company,0
birla sunlife amc,Indian asset management company,1
pfc,Power Finance Corporation - Indian financial institution,1
bjp,Bharatiya Janata Party - Indian political party,1
"sun tv networks",Indian television network,1
business units,Generic term- not India-specific,0
topix,Japanese stock market index,0
nikkei india,Nikkei's India-related stock index,1
fed,US Federal Reserve,0
malaysia derivatives exchange,Malaysian financial exchange,0
amazon,US-based e-commerce company,0
rllr & eblr,Interest rate mechanisms in Indian banking,1
indian silver,Refers to India's silver market,1
"kims",Possibly refers to Kerala Institute of Medical Sciences - India,1
glance,Indian mobile content platform,1
sequoia capital,US-based venture capital firm,0
land rover,British automotive brand,0
atf,Aviation Turbine Fuel - USed globally,0
union budget,Annual financial statement of India,1
the data and marketing association of india,Indian industry association for marketing and data,1
virtual leaders,Generic term- not India-specific,0
zee,Indian media company,1
essar steel,Indian steel manufacturing company,1
l’oreal,French cosmetics company,0
actis,UK-based private equity firm,0
ncb,Narcotics Control Bureau - Indian government agency,1
trop,No clear association to India,0
aaa,Highest credit rating - global term,0
the emami art,Indian art initiative by Emami Group,1
ace equity,Indian financial data platform,1
reliance industries ltd.,Indian conglomerate,1
numetal,Possibly refers to Numetal- a consortium bidding for Indian assets,1
nuveen,US-based investment management firm,0
ntpc,Indian public sector power company,1
deloitte,Global consulting and audit firm,0
hindi news india,Indian news media in Hindi language,1
honda cars,Japanese automotive company,0
jvs,Joint Ventures - global business term,0
u.n.,United Nations - global organization,0
ppp,Public-Private Partnership,0
kotak securities,Indian stock broking firm,1
amazon prime video,US-based video streaming service,0
"swedens saab",Swedish aerospace and defense company,0
rs500,Indian currency denomination (Rs. 500),1
united payments interface,Indian digital payments system,1
a working group,Generic term- not India-specific,0
nifty financial,Indian financial sector stock index,1
ferns n petals,Indian online gifting and flower delivery service,1
easemytrip,Indian online travel booking platform,1
exp realty,US-based real estate company,0
digicontent,Indian digital content company,1
kotak icici,Refers to Kotak Mahindra Bank and ICICI Bank - India,1
nsa,National Security Agency - US government agency,0
the european union,Political and economic union of European countries,0
aadhar,Indian unique ID number system,1
spicejet,Indian low-cost airline,1
"indigos",Refers to Indigo Airlines - Indian budget airline,1
ghial,GMR Hyderabad International Airport Ltd. - India,1
nhai,National Highways Authority of India,1
parliament,Indian legislative body or global- context-specific,1
undp,United Nations Development Programme,0
pag,Global alternative investment firm,0
elsss,Equity Linked Savings Scheme - Indian tax-saving investment,1
star health & allied insurance,Indian health insurance company,1
slack,US-based business communication platform,0
bollywood,Indian Hindi-language film industry,1
dewan housing finance ltd,Defunct Indian housing finance company,1
fatf,Financial Action Task Force - global financial watchdog,0
recognised market operator,Financial market term- not India-specific,0
"rils",Refers to Reliance Industries Ltd - Indian conglomerate,1
bs4,Bharat Stage 4 emission standards in India,1
daimler,German multinational automotive company,0
sharepro services pvt ltd,Indian share registry firm,1
maruti,Indian automobile manufacturer,1
nhb,National Housing Bank of India,1
sbi mutual fund,Indian mutual fund arm of State Bank of India,1
nirbhar bharat abhiyan,Indian government initiative for self-reliance,1
the world economic forum center,Global organization for public-private cooperation,0
pan,Indian Permanent Account Number for taxation,1
regulatory development authority,Generic term- could refer to India or global,1
tltro,Targeted Long-Term Repo Operations- term used in India,1
"anarocks",Refers to Anarock - Indian real estate consultancy,1
ncdex,National Commodity and Derivatives Exchange of India,1
m&m.,Mahindra & Mahindra - Indian automotive company,1
astrazeneca pharma india,Indian subsidiary of AstraZeneca,1
cdpq,Canadian pension fund,0
"magnetic maharashtra",Indian state initiative for investment promotion,1
apollo tyres,Indian tyre manufacturing company,1
nsc,National Savings Certificate in India,1
nip,National Infrastructure Pipeline in India,1
hikma,Global pharmaceutical company,0
farmer producers organisations,Indian agricultural cooperatives,1
gtl infrastructure hdil,Indian infrastructure company,1
arogya setu,Indian COVID-19 contact tracing app,1
states/uts/ district administrations,Indian administrative divisions,1
mindspace business parks reit,Indian real estate investment trust,1
lhc,Large Hadron Collider- European physics research facility,0
tropicana,US-based juice brand,0
fiat chrysler automobiles,Global automotive manufacturer,0
computer age management services,Indian financial services company,1
vecv,VE Commercial Vehicles - Indian commercial vehicle manufacturer,1
emami paper,Indian paper manufacturing company,1
optional practical training,US work authorization for students,0
5g,Global telecommunications standard,0
covid,Global pandemic- context-specific,0
cdac,Centre for Development of Advanced Computing - India,1
nikkei,Japanese stock market index,0
epc,Engineering- procurement- and Construction term - USed globally,0
american eagle,US-based clothing and accessories retailer,0
p&l,Profit and Loss - global financial term,0
sig,Susquehanna International Group - US-based financial firm,0
employees provident fund,Indian government-managed retirement savings scheme,1
notre dame,US-based university,0
ada,American Dental Association or global acronym,0
g v prasad,Indian businessman- cEO of Dr. Reddy's,1
"trumps",Refers to Donald Trump or his enterprises - US-based,0
nescafe,Global coffee brand,0
rfp,Request for Proposal - global business term,0
amd,US-based semiconductor company,0
